,state,city_or_county,address,latitude,longitude
102,Texas,Houston,9780 Bissonnet,29.6754,-95.5499
122,Texas,Fort Worth,2900 block of Pate Drive,32.7157,-97.2597
152,Texas,Dallas,2400 block of Royal Lane,32.8958,-96.8986
163,Texas,Dallas,7100 block of Long Canyon Trail,32.6412,-96.9481
202,Texas,Rice,700 block of NW 0149,32.2337,-96.4661
218,Texas,Paris,400 block of NE 6th Street,33.6652,-95.5505
228,Texas,Beaumont,500 block of Edgemore Drive,30.0716,-94.1485
239,Texas,Cypress,7300 block of Enchanted Creek Drive,29.884,-95.7187
243,Texas,Houston,4400 block of Tiffany,29.6168,-95.4428
244,Texas,Houston,8200 block of Sunbury,29.8222,-95.2761
262,Texas,Channelview,900 block of Ashland Boulevard,29.7908,-95.1355
306,Texas,Lubbock, 1704 East 4th Street.,33.5922,-101.818
309,Texas,Houston,,29.7654,-95.3663
338,Texas,Borger,,35.663,-101.404
352,Texas,Port Arthur,,29.8877,-93.9602
358,Texas,Lubbock,1704 East 4th Street,33.5922,-101.818
414,Texas,Hebbronville,,27.3034,-98.6823
421,Texas,San Antonio,9200 block of West Alametos,29.4769,-98.513
423,Texas,Corpus Christi,4600 block of Valdez,27.7515,-97.4432
425,Texas,Harker Heights,300 block of East Central Texas Expressway,31.0843,-97.6373
429,Texas,Fort Worth,6800 block of the S. Freeway Service Road,32.8671,-97.3165
439,Texas,Corpus Christi,5441 Everhart Rd.,27.7097,-97.3873
466,Texas,Killeen,1100 block of 38th Street ,31.1192,-97.6979
498,Texas,Killeen,5100 block of East Veterans Memorial Boulevard,31.0957,-97.6892
519,Texas,Taylor,610 Howard Street,30.5715,-97.4202
520,Texas,Austin,3600 Presidential Blvd,30.2093,-97.6529
522,Texas,Killeen,3000 block of Old Farm-to-Market 440 Road,31.1108,-97.7504
545,Texas,Conroe,La Quinta Inn at 28673 I-45 north,30.1978,-95.4545
548,Texas,Shenandoah,Comfort Inn at 1115 League Line Road,30.1802,-95.4558
560,Texas,Amarillo,3500 block of Mockingbird Lane,35.1829,-101.878
564,Texas,Galveston,45th Street ,29.2869,-94.815
565,Texas,El Paso,155 N. San Marcia,31.7901,-106.522
569,Texas,Austin,3600 Presidential Blvd,30.2093,-97.6529
594,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
595,Texas,Dallas,2728 McKinnon Street,32.7938,-96.8066
599,Texas,Hondo,,29.3582,-99.1285
600,Texas,Huntsville,200 block of Evergreen,30.6748,-95.5269
612,Texas,Houston,Ojeman Road at Hammerly Boulevard,29.8109,-95.5024
613,Texas,Harris County,Eldridge Parkway between Memorial Drive and Enclave Parkway,29.7752,-95.3102
617,Texas,Huntsville,200 block of Evergreen,30.6748,-95.5269
625,Texas,Houston,4200 block of Clay Hill Drive,29.8351,-95.6488
651,Texas,Texas City,1400 block of 19th Avenue North,29.4037,-94.9144
675,Texas,Lubbock,2025 Clovis Road,33.5988,-101.862
681,Texas,Watauga,6400 block of Patsy Lane,32.8631,-97.2563
700,Texas,San Antonio,4600 block of Howard,29.4786,-98.4954
702,Texas,Fort Worth,Meadowbrook,32.7487,-97.2564
737,Texas,Harris County,5200 block of FM 1960,29.8257,-95.2082
743,Texas,Laredo,2200 block of Hendricks Avenue,27.5157,-99.4865
751,Texas,College Station,3600 block of Oldenburg Court ,30.5658,-96.2982
769,Texas,Richardson,"800 block of S. Central Expressway, near Spring Valley Road",32.94,-96.7658
795,Texas,Dallas,NorthPark Center,32.8657,-96.7724
797,Texas,Bee County,Along Highway 59 just outside of Beeville.,28.4008,-97.7483
816,Texas,Laredo,900 block of Garza Street,27.5152,-99.5045
833,Texas,Corpus Christi,Driving along U.S. 59,27.8006,-97.3964
835,Texas,Dallas,8500 block of N. Stemmons Fwy.,32.828,-96.8719
838,Texas,Houston, Bush Intercontinental Airport,29.9902,-95.3368
839,Texas,San Antonio,14600 block of Nacogdoches near Judson Rd,29.586,-98.3771
857,Texas,Houston,6200 Nyoka,29.8587,-95.5477
867,Texas,Austin,5600 block of Porsche Lane,30.2329,-97.8517
871,Texas,Orange,3300 block of Elk Drive,30.0772,-93.8258
895,Texas,Lubbock,Zenith and East 9th Street,33.5878,-101.81
899,Texas,Corpus Christi,900 block of Brambling Circle,27.8006,-97.3964
902,Texas,Killeen,2300 block of Zephyr Road,31.1016,-97.7183
903,Texas,Dallas,Dallas Love Field,32.8481,-96.8512
905,Texas,Fort Worth,Corner of NW 23rd Street and Clinton Avenue,32.7863,-97.3529
939,Texas,Bryan,Oaks Food Mart in the 3900 block of East 29th Street,30.6582,-96.3501
945,Texas,Houston,Eastex Freeway Service Rd and Lee Rd,29.7816,-95.3403
956,Texas,Houston,West Road,29.9099,-95.5812
971,Texas,Houston,Bush Intercontinental Airport,29.9902,-95.3368
987,Texas,Port Arthur,711 Proctor Street,29.8738,-93.9332
1026,Texas,Ropesville,,33.4404,-102.149
1057,Texas,Lubbock,3600 block of Itasca ,33.61,-101.82
1134,Texas,Houston,Demoss near Tarneff,29.7604,-95.3698
1146,Texas,Dallas,"2800 block of West Northwest Highway, just north of Dallas Love Field",32.8481,-96.8512
1149,Texas,Gatesville,Gatesville H-E-B parking,31.4314,-97.7402
1174,Texas,Corpus Christi,1000 block of Ligustrum Drive,27.8003,-97.4303
1179,Texas,Amarillo,,35.206,-101.841
1225,Texas,Austin,Austin-Bergstrom International Airport,30.1974,-97.6663
1240,Texas,Copperas Cove,200 block of Wayne Street,31.1054,-97.9133
1244,Texas,Dallas,3200 E Airfield Dr,32.8748,-97.0145
1250,Texas,Freeport,500 block of West Ninth Street,28.9449,-95.3543
1272,Texas,Crockett,501 W Goliad Ave,31.3182,-95.4566
1274,Texas,Corpus Christi,,27.795,-97.3989
1298,Texas,Houston,Green Lawn Drive near Arncliffe,29.7604,-95.3698
1304,Texas,Lubbock,Lubbock International Airport,33.6582,-101.824
1311,Texas,Jefferson,1200 block of Haywood,32.7688,-94.3628
1315,Texas,Richland Hills,7000 block of Boulevard 26,32.8206,-97.2313
1316,Texas,Dallas,,32.7878,-96.7999
1342,Texas,Aransas Pass,,27.8998,-97.1481
1354,Texas,Mesquite,North Mesquite Drive near Towne Centre Drive,32.8035,-96.6233
1374,Texas,Laredo,,27.5144,-99.4994
1382,Texas,Pasadena,Watters Road and Palos Verdes Drive,29.6548,-95.1792
1385,Texas,Odessa,Milam Elementary School,31.8418,-102.352
1399,Texas,Dallas,Kimball Square Apartments in the 4500 block of W. Kiest Boulevard in West Oak Cliff,32.7363,-96.8646
1407,Texas,Houston,2121 MAIN ST,29.7485,-95.3715
1436,Texas,San Juan,100 block of Sandy Street,26.238,-98.1472
1447,Texas,Houston, Fernwood in University Oaks,29.7604,-95.3698
1464,Texas,Harris County,Highway 249 at N. Houston Rosslyn,29.7752,-95.3102
1484,Texas,Houston,12300 block of Fondren,29.6438,-95.5086
1492,Texas,Dallas,3200 E Airfield Dr,32.8748,-97.0145
1505,Texas,Lewisville,2305 S SH 121 Business,33.0131,-96.994
1508,Texas,Corpus Christi,Melissa Ln,27.6984,-97.3674
1534,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
1544,Texas,Houston,Scott Street near the University of Houston campus.,29.7248,-95.3502
1548,Texas,Corpus Christi,Along U.S. 59,27.8006,-97.3964
1555,Texas,Brazos County,Exxon in the 3200 block of Boonville Road,30.6504,-96.3226
1557,Texas,Corpus Christi,100 Highwood St.,27.8504,-97.5747
1559,Texas,Odessa,Papa John's on East 42nd Street,31.8897,-102.351
1572,Texas,Tyler,The Rose Valley Apartment Homes off of North Northwest Loop 323,32.3676,-95.3433
1579,Texas,Houston,Gas station on Mykawa,29.7604,-95.3698
1580,Texas,San Antonio,4300 block of Dean Pannill,29.5219,-98.5684
1595,Texas,Bryan,Sunshine Grocery located at 5103 Leonard Road,30.6306,-96.4102
1629,Texas,Houston,7800 Airport Blvd,29.6578,-95.2767
1652,Texas,San Angelo,1218 Martin Luther King Blvd,31.4719,-100.448
1661,Texas,San Antonio,13400 block of Vista Del Mar on the North Side,29.4241,-98.4936
1673,Texas,Brownsville,3400 block of Clavel Street,25.8941,-97.4573
1710,Texas,Houston,3300 block of Dennis near Sampson,29.7604,-95.3698
1721,Texas,San Angelo,,31.489,-100.492
1745,Texas,Overton,11082 Farm-to-Market Road 2012 ,32.3437,-94.9711
1753,Texas,Houston,17100 block of Imperial Valley near Greens,29.9473,-95.397
1763,Texas,Houston,990 Old Spanish Trail,29.692,-95.4152
1785,Texas,Mckinney,900 block of the N. Central Expressway,33.2057,-96.638
1808,Texas,Dallas,1900 block of W Northwest Highway,32.8687,-96.911
1809,Texas,Houston,6200 block of Ludington Drive,29.6503,-95.4985
1824,Texas,Dallas,"9900 block of Crystal Valley Way, near N. Masters Dr",32.7377,-96.6482
1828,Texas,Dallas,Landmark Apartments on S. Polk Street near W. Kiest Boulevard,32.7058,-96.8888
1836,Texas,Odessa,Rodriguez Drive Thru on West Clements.,31.8457,-102.368
1865,Texas,San Antonio,2800 block of East Houston,29.4251,-98.4474
1887,Texas,Houston,Chula's Sports Cantina on Katy Freeway near the Sam Houston Toll Road,29.7604,-95.3698
1898,Texas,Dallas,500 block of Sunset Ave,32.7442,-96.8302
1916,Texas,Houston,,29.7654,-95.3663
1926,Texas,San Antonio,3700 block of Coconino Dr.,,
1931,Texas,Irving,2625 International Pkwy,32.8881,-97.0374
1936,Texas,San Antonio,2310 SW Military Dr,29.3566,-98.5311
1997,Texas,San Antonio,,29.469,-98.5285
2011,Texas,Texarkana,Willis Street ,33.409,-94.0595
2020,Texas,Dallas,"Texaco station in the 3000 block of Forest Lane, near Webb Chapel Road and Interstate 635",32.9247,-96.7947
2058,Texas,Katy,9200 block of South Fry,29.719,-95.7891
2067,Texas,Houston,7800 Airport Blvd,29.6578,-95.2767
2081,Texas,Houston,2800 N Terminal Rd,29.9872,-95.3477
2088,Texas,Arlington,apartment complexes around Brown Boulevard,32.773,-97.0849
2102,Texas,Harris County,4900 block of North State Highway 6,29.7234,-95.337
2107,Texas,El Paso,3800 block of Bliss,31.7875,-106.448
2111,Texas,White Settlement,,32.7636,-97.4883
2144,Texas,Houston,6400 block of Westheimer,29.7378,-95.4964
2146,Texas,Harris County,Millridge N Drive at Millway Drive,29.9546,-95.5805
2164,Texas,El Paso,Horizon High School ,31.6858,-106.171
2173,Texas,Parker (county),FM 3325,33.0421,-96.6123
2224,Texas,Austin,604 Swanson Cove,30.1719,-97.796
2241,Texas,Houston,6425 Westheimer,29.7364,-95.4968
2255,Texas,Dallas,1200 block of Gilpin ,32.7331,-96.8815
2263,Texas,Houston,RadioShack at Yales Street. ,29.7604,-95.3698
2265,Texas,College Station,Harvest Street ,30.5679,-96.2943
2293,Texas,Corpus Christi,9337 South Padre Island Drive,27.6769,-97.3054
2300,Texas,Houston,Hartz Chicken on Hollister,29.7604,-95.3698
2303,Texas,Houston,Hartz Chicken Buffet on North Houston Rosslyn Road,29.8343,-95.4444
2309,Texas,Bishop,,27.5865,-97.7972
2337,Texas,Spring Branch,610 Sawdust Rd,29.8406,-98.4105
2340,Texas,Houston,Family Dollar on Crosstimbers west of the North Freeway,29.9218,-95.4125
2366,Texas,Austin,3265 Duval Road near Mopac Expressway,30.3135,-97.7569
2369,Texas,Houston,McDonald’s on Ella at the North Loop,30.0024,-95.3102
2371,Texas,San Patricio County,,28,-97.5247
2373,Texas,Houston,Auto Zone 5 blocks from North Shepherd at 16th Street.,29.8,-95.3879
2379,Texas,Austin,3600 Presidential Blvd,30.2093,-97.6529
2381,Texas,Tyler,19000 block of Hillside Drive ,32.3355,-95.3846
2392,Texas,Bishop,1900 block of FM 892,27.6216,-97.6638
2404,Texas,Houston,Shell Gas Station in the block of Hollister,29.7604,-95.3698
2418,Texas,Elkhart,400 block of East Parker Street,31.6291,-95.5773
2423,Texas,Houston,Valero on North Shepherd at 16th Street,29.8,-95.3879
2428,Texas,Sunnyvale,Subway 3700 block of North Belt Line Road,32.8165,-96.5958
2437,Texas,Dallas,4300 block of Tacoma St,32.7059,-96.776
2438,Texas,Dallas,5200 block of Black Hawk St,32.7678,-96.9038
2439,Texas,Houston,5700 block of West Little York,29.8645,-95.4739
2446,Texas,Houston,2800 N Terminal Rd,29.9872,-95.3477
2450,Texas,Richland Hills,6900 block of Boulevard 26,32.8185,-97.2344
2455,Texas,Edcouch,300 block of North Highland,26.2956,-97.9695
2481,Texas,Houston,Ellinger Lane at Dow Road,29.8496,-95.511
2486,Texas,Alamo,Cesar Chavez Road and Sam Houston Boulevard,26.1811,-98.1359
2503,Texas,Spring,Candlepine Drive,30.0413,-95.4578
2507,Texas,Houston,7900 block of Ellinger,29.85,-95.5113
2511,Texas,Plano,600 block of E. Plano Pkwy,33.0072,-96.6741
2519,Texas,Corpus Christi,5700 Crestmore Drive,27.7181,-97.4179
2533,Texas,Kerrville,900 block of Paschal Avenue,30.0586,-99.1407
2535,Texas,Mckinney,1815 W. White Ave,33.2089,-96.6407
2554,Texas,Katy,,29.8348,-95.7253
2556,Texas,Garland,2500 block of Firewheel Parkway,32.9377,-96.6031
2557,Texas,West Odessa,West Odessa Game Room on West University,31.8423,-102.499
2564,Texas,Fort Worth,"936 East Berry, the Berry 99",32.7555,-97.3308
2586,Texas,Houston,criminal courthouse in downtown Houston,29.7621,-95.3575
2588,Texas,Texarkana,Convenience store in the 5100 block of Summerhill Road,33.4876,-94.0748
2600,Texas,Corpus Christi,802 Barry St.,27.7297,-97.3786
2609,Texas,Austin,"Highpoint Drive near Loyola Lane, west of U.S. 183",30.2491,-97.6901
2630,Texas,Lubbock,300 block of Duke Street,33.6057,-101.787
2637,Texas,Tomball,,30.1221,-95.5932
2697,Texas,Fort Worth,Sycamore Pointe Apartments on 2200 block of Shane Avenue,32.6302,-97.351
2721,Texas,Harris County,Pincay Oaks Drive,29.8866,-95.4804
2724,Texas,Dallas,Citibank branch at Forest and Marsh Lanes,32.7767,-96.797
2740,Texas,Lampasas County,100 block of S. Broad,31.0667,-98.1857
2745,Texas,El Paso,6701 Convair Rd,31.799,-106.396
2746,Texas,Arlington,6300 block of Brookcrest Drive,32.6448,-97.0916
2765,Texas,Paris,2500 block of West Houston,33.6625,-95.5832
2767,Texas,Austin,Tramor at the Hills Apartments,30.39,-97.7586
2769,Texas,Houston,Riverside Street,29.8899,-95.1025
2775,Texas,Colmesneil,"Mount Carmel Baptist Church near Colmesneil, 110 miles northeast of Houston",30.908,-94.4221
2780,Texas,San Jacinto River,,29.6766,-94.9794
2789,Texas,Lufkin,2300 block of North Timberland Drive,31.3643,-94.713
2790,Texas,Tomball,,30.1221,-95.5932
2797,Texas,Dallas,11500 block of Ferguson Road,32.8536,-96.6548
2798,Texas,Houston,3300 block Old Spanish Trail,29.701,-95.3743
2818,Texas,Plainview,,34.1922,-101.722
2836,Texas,Austin,Renaissance Hotel in Austin,30.3121,-97.7743
2848,Texas,Austin,Research Boulevard,30.4136,-97.7463
2852,Texas,Austin,Pizza Hut in Arboretum,30.2672,-97.7431
2861,Texas,Killeen,900 block of Gary Loop,31.0708,-97.743
2871,Texas,Colmesneil,Co Rd 3725,30.9749,-94.264
2884,Texas,Houston,7300 block of Thurow near Telephone,29.7604,-95.3698
2893,Texas,College Station,Walmart in College Station,30.628,-96.3344
2929,Texas,Rosharon,5243 FM 521,29.5077,-95.4599
2933,Texas,Eldorado,Flying B Ranch,30.8602,-100.601
2939,Texas,Tulsa,north side,32.7455,-97.3723
2940,Texas,Dallas,3100 block of Harlandale Avenue,32.7093,-96.8081
2966,Texas,Houston,9500 block of Beechnut,29.6906,-95.549
2987,Texas,Houston,2800 N Terminal Rd,29.9872,-95.3477
2988,Texas,Montgomery County,,30.3213,-95.4778
3039,Texas,Grand Prairie,Sugar Creek Apartments in the 900 block of Duncan Perry,32.74,-96.9554
3042,Texas,Beaumont,360 Church Street,30.0512,-94.0833
3043,Texas,San Antonio,Nacogdoches and O'Connor,29.5684,-98.3848
3058,Texas,Dallas,Apartment complex in the Oak Cliff neighborhood,32.7363,-96.8646
3066,Texas,Houston,5625 Antoine near W. Tidwell,29.7604,-95.3698
3070,Texas,Houston,5000 block of Pershing,29.6781,-95.3474
3080,Texas,Lubbock,Rip Griffin at 4257 34th Street,33.563,-101.905
3104,Texas,Odessa,4000 block of East 42nd Street ,31.8916,-102.343
3109,Texas,Odessa,900 block of West 22nd Street,31.8598,-102.389
3146,Texas,El Paso,Alayssa Little Store at 6966 Doniphan,31.7776,-106.442
3159,Texas,Austin,3100 block of Loyola north of Dottie Jordan Park,30.2672,-97.7431
3166,Texas,Houston,San Jacinto Street at Mcllhenny Street,29.7455,-95.3714
3174,Texas,Houston,Iwo Jima Road near Pershing Street,29.6767,-95.3428
3195,Texas,Houston,Near Emerson Elementary School in southwest Houston,29.7265,-95.5342
3202,Texas,Midland,9506 La Force Blvd,31.9371,-102.208
3204,Texas,Corpus Christi,3100 block of Carver Dr.,27.7694,-97.4286
3212,Texas,Houston,3400 block of Rockyridge,29.7273,-95.5325
3230,Texas,Garland,7-Eleven store at 2509 Firewheel Parkway,32.9374,-96.604
3239,Texas,Amarillo,2900 block of Wichita Avenue,35.2171,-101.804
3255,Texas,Dallas,Texas Barber Colleges and Hairstyling Schools in the 9800 block of Ferguson Road,32.8187,-96.6851
3278,Texas,Corpus Christi,3900 block of South Padre Island Drive,27.7226,-97.3999
3313,Texas,Grand Prairie,5700 block of Appalossa Drive,32.6576,-97.0007
3320,Texas,Andrews,Main Street ,32.3118,-102.544
3324,Texas,Harris County,Vista Oaks,29.6564,-95.1644
3331,Texas,Lubbock,Near 62nd Street and Avenue L,33.5372,-101.865
3349,Texas,Grand Prairie,"1800 block of Family Circle, near West Marshall Drive",32.721,-97.0254
3356,Texas,Alton,2300 block of Ashley Avenue,26.3261,-98.3405
3360,Texas,Round Rock,Redwing Way,30.501,-97.6531
3406,Texas,Andrews,,32.3208,-102.538
3408,Texas,San Antonio,6800 block of Pecan Valley Drive,29.3594,-98.4461
3413,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
3421,Texas,Fort Bend County,15500 block of Prairie Oaks Drive,29.7013,-95.6975
3473,Texas,Houston,2908 Rosalie,29.7323,-95.3602
3484,Texas,Liberty County,CR450,29.9701,-94.8259
3490,Texas,Dallas,410 South Walton Walker Boulevard,32.7461,-96.9176
3516,Texas,Houston,100 block of Joy Circle,29.9523,-95.4101
3519,Texas,Houston,2916 Rosalie,29.7321,-95.3597
3532,Texas,Houston,,29.7654,-95.3663
3547,Texas,Fort Hood,,31.1322,-97.7682
3563,Texas,Engle,,29.6887,-96.9206
3585,Texas,Dallas,1300 block of Strickland Street,32.7373,-96.8054
3587,Texas,Rio Grande City,Corona Drive ,26.3803,-98.8428
3597,Texas,Katy,Subway restaurant on Fry Road,29.7713,-95.7191
3612,Texas,Santa Fe,7300 block of Avenue P ,29.3396,-95.098
3629,Texas,Laredo,400 block of Candlewood Road,27.5711,-99.489
3652,Texas,Irving,900 block of E. 6th St.,32.8082,-96.9352
3672,Texas,Katy,Famous Footwear on the Katy Freeway,29.7853,-95.7989
3679,Texas,San Antonio,2200 block of U.S. 281 North,29.3479,-98.441
3682,Texas,Killeen,,31.1195,-97.7255
3683,Texas,Houston,19900 block of the Katy Freeway,29.7844,-95.5781
3707,Texas,Austin,Interstate 35 and Rundberg Lane,30.3579,-97.6875
3711,Texas,Belton,Minthorn and Weiss,31.056,-97.4645
3729,Texas,Houston,Lawndale and 75th Street ,29.7173,-95.295
3743,Texas,Corpus Christi,6900 block of Dundee Dr,27.6805,-97.3971
3768,Texas,Houston,Kings Circle,29.5374,-95.1011
3785,Texas,Houston,Barker Cypress and West Little York,29.8654,-95.6832
3796,Texas,Corpus Christi,4200 Leopard St.,27.7971,-97.44
3814,Texas,Kilgore,1100 block of highway 31,32.3937,-94.8889
3840,Texas,Abilene,700 block of Beechwood Lane,32.4568,-99.765
3856,Texas,Gregg County,1100 block of Highway 31,32.3733,-94.9647
3860,Texas,Dallas,,32.7878,-96.7999
3867,Texas,Dallas,3100 block of Kingston Street in Oak Cliff,32.7334,-96.8716
3884,Texas,Dallas,3200 block of Aster Street,32.7353,-96.873
3921,Texas,Houston,9300 block of Richmond Avenue,29.7291,-95.5277
3929,Texas,Houston,9344 Richmond,29.7291,-95.5287
3935,Texas,San Antonio,1700 block of South Sabinas Street,29.4094,-98.5224
3948,Texas,Killeen,3300 block of East Rancier Ave.,31.1164,-97.6967
3950,Texas,San Antonio,300 block of Merida,29.4082,-98.5204
4009,Texas,Comfort,,29.9676,-98.9041
4038,Texas,Rio Grande City,,26.3748,-98.799
4045,Texas,Harris County,1319 West FM 1960 near Ella,30.0175,-95.4418
4078,Texas,Nacogdoches,3001 E J Campbell Blvd,31.5901,-94.6139
4119,Texas,Fresno,Fresno-area Jack in the Box,29.5388,-95.4474
4134,Texas,Houston, Bush Intercontinental Airport,29.9902,-95.3368
4138,Texas,Houston,7900 block of Bellfort,29.6724,-95.2752
4154,Texas,San Antonio, 5700 blk of Sun Canyon,29.4657,-98.3765
4170,Texas,Fort Worth,TCU off-campus residence - no further details,32.7555,-97.3308
4181,Texas,Flower Mound,5850 Long Prairie Road,33.0661,-97.08
4186,Texas,Houston,14700 block of Tomball Parkway,29.9286,-95.5041
4233,Texas,Hidalgo County,Whalen and South Jackson,26.1836,-98.1884
4241,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
4250,Texas,Dallas,9700 block of Forest Lane,32.9092,-96.7245
4252,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
4253,Texas,Dallas,11200 block of Audelia Road,32.9243,-96.718
4287,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
4288,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
4327,Texas,Texarkana,3400 block of New Boston Road,33.4399,-94.0876
4360,Texas,Corpus Christi,1814 Ennis Joslin Rd.,27.6993,-97.3333
4367,Texas,Corpus Christi,2800 block of Guadalupe St.,27.7684,-97.4281
4368,Texas,Corpus Christi,Stillman Avenue and Peabody Avenue,27.8015,-97.4162
4370,Texas,Corpus Christi,2800 block of Guadalupe St.,27.7684,-97.4281
4382,Texas,Crockett,Hill Top corner store on North Fourth Street,31.3381,-95.4679
4385,Texas,Mcallen,400 block of West Heron Court ,26.2582,-98.2238
4395,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
4397,Texas,Dallas,1000 block of Bishop Avenue,32.9577,-96.7288
4414,Texas,Corpus Christi,1400 Buenos Aires St.,27.7327,-97.4521
4437,Texas,Merkel,,32.4763,-100.002
4489,Texas,Corpus Christi,Buenos Aires St.,27.7315,-97.4497
4494,Texas,Houston,Bush Intercontinental Airport,29.9902,-95.3368
4547,Texas,San Marcos,800 block of Crest Circle Drive,29.7864,-97.9672
4550,Texas,San Antonio, San Antonio International Airport,29.5312,-98.4683
4559,Texas,Royse City,400 block of Cookston,32.9557,-96.3377
4560,Texas,Houston,Gasmer and Ricecrest,29.6511,-95.4711
4572,Texas,Mcallen,"Gamehaus Gastropub, 2109 W. Nolana",26.2034,-98.23
4576,Texas,Lubbock,1100 block of 18th Street,33.579,-101.847
4578,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
4587,Texas,Fort Worth,6100 block of Forest Lane,32.7782,-97.2273
4593,Texas,Alice,400 block of Hughes Stree,27.7252,-98.0732
4606,Texas,Lufkin,Esther Boulevard,31.3229,-94.7094
4626,Texas,Crosby,13000 block of Bohemian Hall Road,29.9063,-95.0265
4641,Texas,Lubbock,1700 Texas Ave.,33.5799,-101.846
4651,Texas,Houston,Club Riddims on W. Bellfort near Braes Forest,29.7604,-95.3698
4666,Texas,Royse City,400 block of Cookston Ln,32.9557,-96.3377
4668,Texas,Brazoria County,1000 block of County Road 147,29.2003,-95.5606
4678,Texas,Dallas,Beer Mart at 3250 Samuell Boulevard ,32.7927,-96.7385
4705,Texas,Mcallen,4800 block of La Vista ,26.2309,-98.2704
4717,Texas,Austin,Morado Circle and Jollyville Road,30.4008,-97.7489
4723,Texas,Crosby,13000 block of Bohemian Hall Road,29.9063,-95.0265
4726,Texas,Houston,Hobby Airport,29.6541,-95.2766
4731,Texas,Port Arthur,2800 block of Beldon Drive,29.9504,-93.8964
4773,Texas,Mesquite,3600 block of Edgebrook Drive,32.8121,-96.6424
4821,Texas,Austin,10610 Morado Cir,30.4044,-97.7539
4832,Texas,Amarillo,7200 block of Interstate 40 West,35.1878,-101.917
4855,Texas,Dallas,3080 S Hampton Rd,32.7113,-96.8569
4860,Texas,Oak Cliff,1500 block of Marion Drive,32.7296,-96.8929
4912,Texas,Chambers County,,29.7525,-94.6864
4953,Texas,Houston,7400 block of Antoine,29.8691,-95.473
4978,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
4979,Texas,San Antonio,San Antonio International Airport,29.5312,-98.4683
5070,Texas,Cypress,14015 Fosters Creeks Drive,29.973,-95.6542
5078,Texas,Fort Worth,Ridgela Townhomes at 3817 Birkdale Drive,32.7231,-97.4156
5136,Texas,Houston,100 block of South 4th Street,29.9415,-95.296
5155,Texas,Dallas,Near the intersection of Sylvan Ave. and Singleton Blvd. in Oak Cliff,32.7786,-96.8359
5169,Texas,Rusk County,County Road 4107,32.1613,-94.9282
5172,Texas,Dallas,Marquise Jewelers in the 5800 block of Interstate 635 near Valley View Center,32.9308,-96.8054
5182,Texas,Houston,Bush Intercontinental Airport,29.9902,-95.3368
5250,Texas,Dallas,6000 block of Petain Avenue,32.7763,-96.7078
5341,Texas,Dallas,2100 block of Cedar Springs Road,32.7922,-96.805
5350,Texas,Denison,Cedar Drive,33.8038,-96.5529
5359,Texas,San Antonio,San Antonio International Airport,29.5312,-98.4683
5362,Texas,San Antonio,San Antonio International Airport,29.5312,-98.4683
5365,Texas,Garland,Broadway,32.8823,-96.6207
5374,Texas,Corpus Christi,Corpus Christi International Airport,27.7724,-97.5022
5380,Texas,Dallas,5400 block of Preston Oaks,32.9427,-96.8154
5382,Texas,Arlington,2400 block of Summer Place Drive,32.7046,-97.0714
5385,Texas,Dallas,7600 block of Chaucer Place,32.6583,-96.8671
5407,Texas,El Paso,Valley Ridge Apartments located at 1650 George Dieter,31.7776,-106.442
5431,Texas,Dickinson,4307 31st St.,29.4727,-95.0446
5446,Texas,El Paso,De Soto Hotel at 309 Mills Avenue,31.7606,-106.487
5469,Texas,Houston,7500 block of Corporate Drive,29.6984,-95.5523
5479,Texas,Mcallen,,26.2164,-98.2359
5484,Texas,Austin,12000 block of Burnet Rd,30.4073,-97.7143
5485,Texas,Houston,First Service Credit Union on 5th Street,29.9296,-95.3818
5502,Texas,Dallas,2375 International Pkwy,32.8982,-97.0404
5533,Texas,Corpus Christi,Corpus Christi International Airport,27.7724,-97.5022
5562,Texas,Jefferson,,32.7737,-94.3873
5564,Texas,Houston,T Mobile store,29.7604,-95.3698
5566,Texas,Dallas,Gas station in the 1900 block of West Northwest Highway,32.8624,-96.8505
5578,Texas,East Arlington,900 block of East Arkansas Lane,32.7061,-97.0972
5580,Texas,Corpus Christi,7200 block of Ridge Creek Dr.,27.6813,-97.4141
5588,Texas,Houston,6405 Antoine Dr,29.8544,-95.4734
5605,Texas,Mcallen,211 S. 17th St.,26.2024,-98.2378
5608,Texas,Houston,10000 block of Beechnut ,29.6894,-95.557
5616,Texas,Beaumont,,30.0726,-94.1052
5650,Texas,Houston,Bush Intercontinental Airport,29.9902,-95.3368
5671,Texas,Corpus Christi,"6000 block of Horizon Drive, near Corn Products Road and Leopard",27.8006,-97.3964
5673,Texas,Fort Worth,Family Dollar store in the 5200 block of West Vickery Boulevard ,32.7196,-97.3866
5701,Texas,Corpus Christi,1400 Seventeenth St.,27.7766,-97.4103
5713,Texas,College Station,Parking garage in College Station,30.628,-96.3344
